proj	ts	deg	stage	art	seq	feat	phase	verdict	action	nrub	nfail	nblk	nadv	nesc
assistente-pessoal	2026-08-26T01:23:09Z	0	code-review	google-calendar-read-phase-1-dated-items-one-screen	1	google-calendar-read	1	APPROVED	final_flip	14	0	0	0	0
assistente-pessoal	2026-08-26T13:40:48Z	0	code-review	google-calendar-read-phase-2-consent-credential-revocation	1	google-calendar-read	2	CHANGES_REQUESTED	rubric_fail	13	3	3	0	0
assistente-pessoal	2026-08-26T13:47:41Z	0	code-review	google-calendar-read-phase-2-consent-credential-revocation	2	google-calendar-read	2	CHANGES_REQUESTED	rubric_fail	13	1	1	0	0
assistente-pessoal	2026-08-26T13:51:01Z	0	code-review	google-calendar-read-phase-2-consent-credential-revocation	3	google-calendar-read	2	APPROVED	final_flip	1	0	0	0	0
assistente-pessoal	2026-08-28T15:54:21Z	0	code-review	google-calendar-read-phase-3-reading-the-calendar	1	google-calendar-read	3	CHANGES_REQUESTED	rubric_fail	14	4	4	0	0
assistente-pessoal	2026-08-28T23:10:42Z	0	code-review	google-calendar-read-phase-3-reading-the-calendar	10	google-calendar-read	3	APPROVED	final_flip	13	0	0	0	0
assistente-pessoal	2026-08-28T16:07:27Z	0	code-review	google-calendar-read-phase-3-reading-the-calendar	2	google-calendar-read	3	APPROVED	final_flip	1	0	0	0	0
assistente-pessoal	2026-08-28T16:07:27Z	0	code-review	google-calendar-read-phase-3-reading-the-calendar	3	google-calendar-read	3	APPROVED	final_flip	1	0	0	0	0
assistente-pessoal	2026-08-28T16:07:27Z	0	code-review	google-calendar-read-phase-3-reading-the-calendar	4	google-calendar-read	3	CHANGES_REQUESTED	rubric_fail	1	0	0	0	0
assistente-pessoal	2026-08-28T16:07:27Z	0	code-review	google-calendar-read-phase-3-reading-the-calendar	5	google-calendar-read	3	CHANGES_REQUESTED	rubric_fail	1	0	0	0	0
